I,Q,I_dpd,Q_dpd
-0.14930705,-0.002665647,-0.1235851,-0.03306795
-0.3671881,0.060100713,-0.29902485,0.019395664
-0.470135441,0.087694908,-0.37764156,0.054508492
-0.426750334,0.06466701,-0.33683813,0.055634737
-0.257113639,-0.010217157,-0.19343686,0.013630405
-0.019967647,-0.120579803,-0.008663483,-0.05982099
0.212659293,-0.235276503,0.18208775,-0.15282428
0.381467103,-0.317173327,0.30900455,-0.2193945
0.456433931,-0.335129715,0.35619286,-0.24977832
0.439654569,-0.274995572,0.33256084,-0.22190847
0.356717187,-0.145537296,0.25705582,-0.13014719
0.242901225,0.023103544,0.16393779,-0.0014285296
0.13073254,0.188151711,0.07475678,0.12082477
0.042723002,0.307237696,0.012125738,0.22089146
-0.010425119,0.351245301,-0.018313423,0.262693
-0.02821217,0.312574083,-0.01882486,0.23647319
-0.017676356,0.206186307,0.0020895302,0.15512045
0.009189109,0.063543839,0.031633306,0.04437828
0.038131135,-0.07786272,0.056050774,-0.059218273
0.055979292,-0.18530265,0.054191466,-0.13998404
0.054365895,-0.238195136,0.046748538,-0.18219374
0.032424233,-0.230280751,0.024543703,-0.17481104
-0.003260103,-0.167227258,-0.0091512725,-0.1285777
-0.042119712,-0.062155071,-0.046791777,-0.057512727
-0.075205071,0.068124046,-0.07914623,0.046546653
-0.099987202,0.204655658,-0.09938405,0.14907293
-0.12137403,0.326271095,-0.113112964,0.24686612
-0.147815092,0.410087186,-0.12748963,0.31456417
-0.184282038,0.434802406,-0.1444411,0.33590108
-0.226181219,0.387271869,-0.16482466,0.30012542
-0.25835709,0.270193626,-0.17828596,0.21049117
-0.260902683,0.106749285,-0.17280889,0.08714005
-0.219632748,-0.061854581,-0.14046338,-0.038092196
-0.135910184,-0.187367619,-0.079011224,-0.12729247
-0.029995414,-0.231238584,-0.00805705,-0.16014387
0.065159288,-0.180661737,0.047133863,-0.12020684
0.11789562,-0.056385311,0.07479274,-0.026208848
0.113355347,0.092677261,0.06822021,0.07425819
0.062622536,0.207488894,0.03057661,0.15670405
5.14e-06,0.242990318,-0.0075725242,0.18284117
-0.031547892,0.188035195,-0.020949967,0.13715844
-0.000905896,0.071789636,0.012559079,0.048954442
0.09435761,-0.047382598,0.089534394,-0.035555467
0.223129391,-0.106796316,0.17622404,-0.06947136
0.331281291,-0.067768372,0.26075333,-0.042847425
0.36382982,0.06513029,0.276514,0.05212362
0.2894072,0.242976248,0.20780367,0.17969961
0.116239926,0.390888094,0.0724553,0.2833538
-0.10777389,0.438617581,-0.08960336,0.3144856
-0.311538375,0.350442378,-0.23332855,0.24928837
-0.427351445,0.14150076,-0.30754054,0.098789945
-0.416896281,-0.126585729,-0.2870437,-0.096397735
-0.286216375,-0.369122271,-0.18548393,-0.2687557
-0.083860654,-0.511067915,-0.043673128,-0.3699103
0.11681824,-0.515614126,0.09221008,-0.3720647
0.24413078,-0.397174577,0.17419158,-0.28518274
0.253188447,-0.214057121,0.17023915,-0.15364185
0.140637985,-0.044436175,0.081602514,-0.0354814
-0.055754557,0.044320275,-0.064347796,0.035167724
-0.271686967,0.020869633,-0.21485913,-0.005014986
-0.439166753,-0.099632714,-0.33647296,-0.100829735
-0.509261184,-0.262969526,-0.38880655,-0.21253979
-0.467011674,-0.397567423,-0.3594478,-0.30426276
-0.333971693,-0.441927813,-0.26282594,-0.32782525
-0.158331924,-0.367750147,-0.13649496,-0.25933444
0.003163779,-0.190752942,-0.024590656,-0.117436275
0.104713354,0.034290886,0.056376867,0.05064702
0.125424397,0.232438901,0.06654434,0.18716998
0.073142865,0.334962861,0.041567385,0.26460648
-0.022499513,0.30429585,-0.016465105,0.2292024
-0.124295141,0.148829533,-0.07562936,0.101605624
-0.202658471,-0.078138417,-0.12656334,-0.070536256
-0.245390306,-0.295869228,-0.15735218,-0.23390284
-0.258203094,-0.424773499,-0.18104702,-0.3341099
-0.256552879,-0.416231326,-0.20045877,-0.32327658
-0.253485428,-0.272313466,-0.21542463,-0.20972079
-0.250171147,-0.046919769,-0.22601786,-0.03644737
-0.234467513,0.173496615,-0.21412608,0.13866307
-0.18866315,0.303227152,-0.1681464,0.24865936
-0.102485975,0.291797865,-0.083965845,0.24516584
0.015887665,0.145269703,0.025746927,0.13237219
0.137750514,-0.075398379,0.12885804,-0.042037435
0.223437835,-0.279281435,0.20239559,-0.20232883
0.240104792,-0.383782588,0.20272887,-0.29476
0.17924058,-0.349869615,0.13776404,-0.27978975
0.06445362,-0.198493309,0.03503541,-0.16626301
-0.055938319,-0.00042224,-0.07271699,-0.015306987
-0.129591048,0.156280281,-0.12811834,0.10600586
-0.124983264,0.206430898,-0.109351195,0.15655361
-0.04818315,0.136977053,-0.037385583,0.110480234
0.057761873,-0.008375952,0.05984287,0.007911734
0.132039027,-0.151302817,0.12264384,-0.104707964
0.125699224,-0.217097933,0.109389275,-0.16226502
0.027533485,-0.170546626,0.022985153,-0.13692103
-0.127149314,-0.032094651,-0.110927515,-0.047841154
-0.270488992,0.133346667,-0.23208338,0.08399746
-0.333329965,0.249108662,-0.27834946,0.18688779
